ds,INVERTER1.1_Active Power_Kw,INVERTER1.1_AC Current (A)_Phase 1,INVERTER1.1_AC Current (A)_Phase 2,INVERTER1.1_AC Current (A)_Phase 3,INVERTER1.1_AC Voltage (V)_BR,INVERTER1.1_AC Voltage (V)_RY,INVERTER1.1_AC Voltage (V)_YB,INVERTER1.1_Todays Gen_Kwh,INVERTER1.1_DC Current,INVERTER1.1_DC Voltage,INVERTER1.1_DC Power_Kw,INVERTER1.1_Reactive power_Kvar,INVERTER1.1_Inverter_Temp.,INVERTER1.1_Power Factor
03-06-2025 18:00,14.98564973,20.5729023,19.98160945,23.67959516,599.4231415,595.9087052,593.0993957,6141.633687,16253.98252,575.4398205,16.15132246,-16986.71516,50.12111339,-16.12947936
03-06-2025 19:00,-32.68239384,-25.36713749,-25.93930724,-22.18557552,601.9731595,598.6268491,594.8688189,6180.179066,24976.59535,418.6377437,-32.0912442,-12128.85482,49.96315315,-11.38810353
03-06-2025 20:00,-19.55390058,-10.16902575,-10.78411235,-6.942469186,602.7011258,599.456123,595.5265921,6209.914032,30389.96385,293.08643,-18.79998157,-9037.63785,49.48502459,-8.365512062
03-06-2025 21:00,4.198236147,14.12935492,13.45669606,17.3947653,601.6205321,598.4159743,594.8223211,6177.024634,31924.24294,238.9855288,5.21244643,-8208.183047,48.02667456,-7.555221333
03-06-2025 22:00,1.552102426,10.34315049,9.638709737,13.66054407,599.0598542,595.9031678,592.6323104,6019.236587,30700.45857,260.5681257,2.557132582,-9094.018954,45.77175259,-8.431570623
03-06-2025 23:00,-26.87287478,-19.52000246,-20.22657812,-16.13464911,595.8088477,592.7577275,589.4650238,5749.447731,28525.42983,321.8785062,-26.10435453,-10560.0429,43.49606177,-9.882559914
04-06-2025 00:00,-18.2899274,-9.752129674,-10.40151398,-6.249283833,602.1404285,598.8926672,595.7623673,-21.05909996,29494.56463,317.8203177,-17.52653581,-10471.81888,42.51645409,-9.825378269
04-06-2025 01:00,-21.01097171,-11.44970137,-12.11578826,-7.8780684,601.8507551,598.7142456,595.3112406,-190.2750615,29301.21733,320.1827322,-20.20419255,-10460.71094,41.64005144,-9.820230997
04-06-2025 02:00,-7.546613927,3.055641458,2.362060032,6.693113602,604.0357377,600.9658756,597.4551849,-208.5290536,30338.64852,287.9925921,-6.565871294,-9733.972863,40.99957524,-9.111239546
04-06-2025 03:00,-4.300508989,5.987921065,5.283819989,9.699091468,606.8488708,603.8779453,600.2723566,-143.0755607,31475.04604,268.7958674,-3.286493596,-9175.319727,40.05296667,-8.572973468
