ds,yhat,yhat_lower,yhat_upper
2024-09-29 18:00:00,61.20125359915842,-41.606132930352075,169.32109102725727
2024-09-29 18:01:00,59.969601360641654,-44.05672799450014,165.48987623257486
2024-09-29 18:02:00,58.75548692270752,-54.16003118970244,173.93367909734897
2024-09-29 18:03:00,57.55887064027568,-51.50838253271324,163.84103249089196
2024-09-29 18:04:00,56.37971105009615,-53.5251518577681,157.42033151044822
2024-09-29 18:05:00,55.217964888310114,-53.535439523982504,155.2403213876527
2024-09-29 18:06:00,54.07358708305425,-59.60522604171737,162.07028860800298
2024-09-29 18:07:00,52.94653076861308,-54.85261252925154,160.5542319035656
2024-09-29 18:08:00,51.836747324551695,-46.30271952057273,171.07026065020094
2024-09-29 18:09:00,50.74418632591819,-53.08589768163446,160.8873709238935
2024-09-29 18:10:00,49.66879558248006,-57.96284004888321,154.1867793826158
2024-09-29 18:11:00,48.610521173871064,-61.299896057493,152.28023619168724
2024-09-29 18:12:00,47.56930740541412,-46.22981128632236,159.1785029509104
2024-09-29 18:13:00,46.54509685909226,-58.953494942431824,148.07620069865933
2024-09-29 18:14:00,45.537830376900686,-60.3589151025564,153.35967334231734
2024-09-29 18:15:00,44.547447085823556,-64.27771301202255,159.24972211555033
2024-09-29 18:16:00,43.573884413875206,-69.01426234608006,148.66921131537902
2024-09-29 18:17:00,42.61707807210856,-71.8649608821259,145.65839011885922
2024-09-29 18:18:00,41.67696208624662,-60.1173693250801,143.48184455941959
2024-09-29 18:19:00,40.753468825051414,-65.80947301345002,150.54593779392965
2024-09-29 18:20:00,39.84652896424335,-68.8442142986589,141.37120044922173
2024-09-29 18:21:00,38.95607153232871,-59.99075011353175,147.79800759760892
2024-09-29 18:22:00,38.08202392745466,-69.68869782564933,143.71703788511917
2024-09-29 18:23:00,37.224311883446646,-65.2416418338513,141.30603615381852
2024-09-29 18:24:00,36.382859552072546,-75.36132829286606,147.43394182040717
2024-09-29 18:25:00,35.55758944645315,-65.91235277858351,138.14642530577953
2024-09-29 18:26:00,34.74842249272909,-74.72573570820123,141.95095162865786
2024-09-29 18:27:00,33.95527804327695,-78.83981174138216,139.27202550092787
2024-09-29 18:28:00,33.17807386323132,-74.1315884021727,137.92689528337496
2024-09-29 18:29:00,32.416726178412574,-74.13767383648619,147.96382753802575
2024-09-29 18:30:00,31.671149650811028,-75.96694031069502,138.57219882464668
2024-09-29 18:31:00,30.941257420339856,-70.65424705552694,135.31128664238096
2024-09-29 18:32:00,30.22696111596968,-75.05295157137908,134.83621257084886
2024-09-29 18:33:00,29.528170855100445,-78.41464858698248,132.1224229495562
2024-09-29 18:34:00,28.844795260731434,-80.50921790100429,141.32128205408424
2024-09-29 18:35:00,28.176741499593057,-87.1034081254854,125.88566789776561
2024-09-29 18:36:00,27.523915262590325,-81.7380333986695,144.2880163704592
2024-09-29 18:37:00,26.886220802296954,-79.89048774225903,130.44736081744443
2024-09-29 18:38:00,26.26356093807244,-83.77080557795392,136.78819126615258
2024-09-29 18:39:00,25.655837072886374,-84.95575844994289,140.93335649527629
2024-09-29 18:40:00,25.062949222322843,-82.1324960516884,135.66118700423405
2024-09-29 18:41:00,24.484796003424297,-76.03093824022329,130.70099698038
2024-09-29 18:42:00,23.92127466232774,-85.66588302697826,135.32710305982383
2024-09-29 18:43:00,23.3722811264752,-80.73721413238198,122.3458043645419
2024-09-29 18:44:00,22.83770994633116,-81.997731710893,129.85232741365783
2024-09-29 18:45:00,22.317454381067144,-79.10949455324301,129.1449012602396
2024-09-29 18:46:00,21.81140637732516,-79.08983227882636,126.06359984753331
2024-09-29 18:47:00,21.319456597173655,-77.20208784836365,120.79258063252571
2024-09-29 18:48:00,20.84149444347893,-83.57381238401283,126.40655162120146
2024-09-29 18:49:00,20.377408058534193,-96.80188616296029,118.44038470617606
2024-09-29 18:50:00,19.927084361214412,-87.08480422872039,117.53842400138863
2024-09-29 18:51:00,19.49040904747401,-85.08081513437197,123.93481748269129
2024-09-29 18:52:00,19.067266622324688,-90.63437764649268,121.13010252531038
2024-09-29 18:53:00,18.657540414610466,-91.39587208109134,125.39884629919227
2024-09-29 18:54:00,18.261112583044266,-90.80329474025184,131.04166057183838
2024-09-29 18:55:00,17.877864150885074,-81.5564476514115,124.99671533976431
2024-09-29 18:56:00,17.50767502041111,-87.31894967027065,125.44969644781395
2024-09-29 18:57:00,17.150423989734676,-82.17741746608462,123.00970756844953
2024-09-29 18:58:00,16.805988764214867,-85.37816692499968,125.91941078081824
2024-09-29 18:59:00,16.474245999724772,-94.1720440398036,119.51370168971961
2024-09-29 19:00:00,16.155071284467994,-92.79107394118257,113.10729824918062
2024-09-29 19:01:00,15.848339203643288,-89.21779170084145,120.14391252218782
2024-09-29 19:02:00,15.553923315474243,-82.74669842399067,123.94532325790395
2024-09-29 19:03:00,15.271696198855391,-87.40060908348966,123.95066738849056
2024-09-29 19:04:00,15.001529478751472,-81.27968972219296,120.78869310858579
2024-09-29 19:05:00,14.743293812785488,-91.11464506995851,126.3686951935581
2024-09-29 19:06:00,14.496858947368498,-92.22924544094946,115.41140296370394
2024-09-29 19:07:00,14.262093719403168,-92.61987699914742,128.75139174106712
2024-09-29 19:08:00,14.038866080270619,-86.95214949110586,121.5489747535594
2024-09-29 19:09:00,13.82704312460925,-95.36523901855479,121.99311590264512
2024-09-29 19:10:00,13.62649109375791,-94.02725805812632,125.020284641255
2024-09-29 19:11:00,13.437075416600774,-91.04439502161611,115.33759406450993
2024-09-29 19:12:00,13.258660719886677,-93.1069563094853,121.73371693815163
