ds,yhat,yhat_lower,yhat_upper
2024-09-29 18:00:00,61.20125359915842,-39.63042579176555,168.86560485476576
2024-09-29 18:01:00,59.969601360641654,-48.79675965848706,166.65175886284263
2024-09-29 18:02:00,58.75548692270752,-45.59991581432904,161.70645703503564
2024-09-29 18:03:00,57.55887064027568,-49.543008752155586,166.25196661676176
2024-09-29 18:04:00,56.37971105009615,-47.83148822385609,163.60323951747324
2024-09-29 18:05:00,55.217964888310114,-46.725373355001345,163.67464630513606
2024-09-29 18:06:00,54.07358708305425,-47.36553461501644,161.48283262128942
2024-09-29 18:07:00,52.94653076861308,-44.399199808316276,160.00870223010116
2024-09-29 18:08:00,51.836747324551695,-65.278618559117,151.2800456029819
2024-09-29 18:09:00,50.74418632591819,-55.78484096021819,155.2661312621481
2024-09-29 18:10:00,49.66879558248006,-56.532754607752786,159.21934966465315
2024-09-29 18:11:00,48.610521173871064,-55.80326544741723,156.08748438996122
2024-09-29 18:12:00,47.56930740541412,-58.60288268947595,157.9120560528093
2024-09-29 18:13:00,46.54509685909226,-66.35026204237809,147.74501564954576
2024-09-29 18:14:00,45.537830376900686,-68.38284560065318,144.95919459436016
2024-09-29 18:15:00,44.547447085823556,-60.62527242285148,153.3146450963004
2024-09-29 18:16:00,43.573884413875206,-68.87013537789784,157.0777780568938
2024-09-29 18:17:00,42.61707807210856,-69.68200762397235,143.84125415286871
2024-09-29 18:18:00,41.67696208624662,-69.8902285410747,143.9537780490128
2024-09-29 18:19:00,40.753468825051414,-67.9604724201465,149.10090114282232
2024-09-29 18:20:00,39.84652896424335,-71.3251585769736,149.4049681203851
2024-09-29 18:21:00,38.95607153232871,-60.80823356715183,142.64864946317658
2024-09-29 18:22:00,38.08202392745466,-60.77749153073111,142.85804076858358
2024-09-29 18:23:00,37.224311883446646,-68.68323813977906,152.12483879101447
2024-09-29 18:24:00,36.382859552072546,-81.02254860334504,144.6573606493125
2024-09-29 18:25:00,35.55758944645315,-71.8474212570681,141.3588137077226
2024-09-29 18:26:00,34.74842249272909,-76.26840095936164,140.86672811712756
2024-09-29 18:27:00,33.95527804327695,-62.43838826133922,141.49987640654336
2024-09-29 18:28:00,33.17807386323132,-72.35673186466744,135.830553056945
2024-09-29 18:29:00,32.416726178412574,-80.80317782071364,135.7312774487868
2024-09-29 18:30:00,31.671149650811028,-70.43024962760315,131.5994900026931
2024-09-29 18:31:00,30.941257420339856,-72.87059872590072,140.41528109976753
2024-09-29 18:32:00,30.22696111596968,-81.42128639050391,134.36979014903696
2024-09-29 18:33:00,29.528170855100445,-75.90654427664943,133.36482779327866
2024-09-29 18:34:00,28.844795260731434,-73.97387669406599,135.29441707106812
2024-09-29 18:35:00,28.176741499593057,-77.74072877687841,138.58574155800622
2024-09-29 18:36:00,27.523915262590325,-79.35632839419708,137.54432375627826
2024-09-29 18:37:00,26.886220802296954,-74.85260208198584,129.38248428572558
2024-09-29 18:38:00,26.26356093807244,-79.88720476117557,137.781645388748
2024-09-29 18:39:00,25.655837072886374,-79.25077244776436,130.33693297295886
2024-09-29 18:40:00,25.062949222322843,-80.49716905190148,131.88425202015677
2024-09-29 18:41:00,24.484796003424297,-83.0396428935503,136.02174856352121
2024-09-29 18:42:00,23.92127466232774,-87.58195418649954,129.9728405791065
2024-09-29 18:43:00,23.3722811264752,-98.2600192208048,131.3966711886961
2024-09-29 18:44:00,22.83770994633116,-83.9495444483745,129.43124690778026
2024-09-29 18:45:00,22.317454381067144,-82.24141469931658,124.1924438964483
2024-09-29 18:46:00,21.81140637732516,-82.4382933878219,131.5066286148515
2024-09-29 18:47:00,21.319456597173655,-86.94137976103742,126.00200857367496
2024-09-29 18:48:00,20.84149444347893,-86.80779544748576,126.1191025003118
2024-09-29 18:49:00,20.377408058534193,-79.12905138814395,123.85196645595016
2024-09-29 18:50:00,19.927084361214412,-80.81258038817526,119.61683240433482
2024-09-29 18:51:00,19.49040904747401,-89.48828726239029,121.83161390954653
2024-09-29 18:52:00,19.067266622324688,-80.01478476551017,128.77534518546352
2024-09-29 18:53:00,18.657540414610466,-91.38282454161637,134.69839926716966
2024-09-29 18:54:00,18.261112583044266,-90.07436350723297,123.63987389789561
2024-09-29 18:55:00,17.877864150885074,-83.99088011351543,124.35373600314337
2024-09-29 18:56:00,17.50767502041111,-88.57890573030524,123.90461121659933
2024-09-29 18:57:00,17.150423989734676,-88.73214970326599,121.30149432060715
2024-09-29 18:58:00,16.805988764214867,-95.18302231574792,123.15634556111753
2024-09-29 18:59:00,16.474245999724772,-97.63584148239002,123.61338470501511
2024-09-29 19:00:00,16.155071284467994,-82.21307996988692,115.13204069479613
2024-09-29 19:01:00,15.848339203643288,-91.7667702010582,123.37711189263887
2024-09-29 19:02:00,15.553923315474243,-91.70222039605832,127.10815869427778
2024-09-29 19:03:00,15.271696198855391,-96.58744075306333,127.45488254044953
2024-09-29 19:04:00,15.001529478751472,-92.64678129835102,116.54685025374853
2024-09-29 19:05:00,14.743293812785488,-95.30513760762354,118.55128438545982
2024-09-29 19:06:00,14.496858947368498,-86.06186672846532,119.26381325853143
2024-09-29 19:07:00,14.262093719403168,-83.27690966488632,122.4933362745655
2024-09-29 19:08:00,14.038866080270619,-97.76554405314737,119.31244468648018
2024-09-29 19:09:00,13.82704312460925,-95.010230546662,121.75097354915165
2024-09-29 19:10:00,13.62649109375791,-103.37927713201624,114.35766913827747
2024-09-29 19:11:00,13.437075416600774,-96.30140359961806,125.28204481790647
2024-09-29 19:12:00,13.258660719886677,-93.96087152744552,112.05225608075958
